Chr Start End Gene
1 12507246 12507397 SNORA59A
1 12525553 12529092 LINC02766
1 12578957 12579023 MIR6730
1 12716110 12728760 AADACL3
1 12746200 12763699 CFAP107
1 12773738 12777906 PRAMEF12
1 12791397 12796628 PRAMEF1
1 12822686 12823223 LINC01784
1 12847377 12848720 HNRNPCL1
1 12879212 12886201 PRAMEF4
1 12892896 12898270 PRAMEF10
1 12916610 12920751 PRAMEF7
1 12938472 12947580 PRAMEF6
1 13049476 13056575 PRAMEF27
1 13060769 13062878 HNRNPCL3
1 13070774 13077884 PRAMEF25
1 13115488 13116854 HNRNPCL2
1 13148907 13156009 PRAMEF26
1 13163914 13165631 HNRNPCL4
1 13171848 13179459 PRAMEF9
1 13222695 13226154 PRAMEF18
1 13254198 13263435 PRAMEF5
1 13303539 13308907 PRAMEF33
1 13315581 13322598 PRAMEF15
1 13341892 13347134 PRAMEF14
1 13368431 13371947 PRAMEF19
1 13389632 13392629 PRAMEF17
1 13410450 13421328 PRAMEF20
1 14348955 14419973 KAZN-AS1
1 15111815 15152464 TMEM51-AS1
1 15164192 15171624 TMEM51-AS2
1 15326680 15343883 FHAD1-AS1
1 15402979 15412368 EFHD2-AS1
1 15456732 15472091 CELA2A
1 15476104 15491395 CELA2B
1 15526848 15571733 DNAJC16
1 15542166 15542304 SCARNA21B
1 15571699 15585051 AGMAT
1 15617458 15669044 DDI2
1 15659713 15662033 RSC1A1
1 15740051 15749890 SLC25A34-AS1
1 15742499 15747982 TMEM82
1 15807374 15807649 UQCRHL
1 15834215 15848147 SPEN-AS1
1 15847707 15940456 SPEN
1 16004236 16008807 SRARP
1 16014029 16019594 HSPB7
1 16022036 16034050 CLCNKA
1 16043782 16057326 CLCNKB
1 16057769 16073651 FAM131C
1 16155215 16166742 EPHA2-AS1
1 16367242 16398145 SZRD1
1 16460948 16468481 LINC01772
1 16514122 16514285 RNU1-1
1 16533891 16535652 LINC01783
1 16562423 16613564 NBPF1
1 16666785 16666948 RNU1-3
1 16740516 16740679 RNU1-4
1 16858949 16859021 MIR3675
1 16872226 16874096 LOC112267871
1 16888538 16889666 LOC105376805
1 16895980 16896143 RNU1-2
1 17018722 17054032 SDHB
1 17189789 17196387 LINC02783
1 17277889 17277975 MIR3972
1 17372196 17401699 PADI6
1 17406760 17439677 RCC2
1 17406761 17407382 RCC2-AS1
1 18065657 18074412 LINC01654
1 18480930 18485974 KLHDC7A
1 18630846 18748866 PAX7
1 18839599 18859660 TAS1R2
1 18871430 18902555 ALDH4A1
1 18883202 18883275 MIR4695
1 18897071 18897148 MIR1290
1 19210386 19240704 EMC1-AS1
1 19215660 19251524 EMC1
1 19293247 19295736 LOC100506730
1 19591802 19596832 MICOS10-DT
1 19596979 19658452 MICOS10-NBL1
1 19596979 19629820 MICOS10
1 19643229 19658452 NBL1
1 19664875 19680966 HTR6
1 19814029 19815283 RNF186
1 19814409 19819502 RNF186-AS1
1 19920009 19923617 PLA2G2E
1 20111939 20119536 PLA2G2D
1 20154214 20160568 LOC117779438
1 20243095 20244655 LINC01757
1 20359801 20428794 LINC01141
1 20482391 20486210 CAMK2N1
1 20552573 20555020 FAM43B
1 20589097 20618903 CDA
1 20633458 20651511 PINK1
1 20633679 20633788 MIR6084
1 20642657 20652193 PINK1-AS
1 20651777 20661369 DDOST
1 20740266 20787307 HP1BP3
1 20988314 20988432 MIR1256
1 21293290 21299869 ECE1-AS1
1 21586448 21591187 LINC02596
1 21596221 21669357 RAP1GAP
1 21812265 21825225 LDLRAD2
1 22001657 22012542 CELA3A
1 22023994 22026048 LINC01635
1 22025191 22031224 LINC00339
1 22052709 22101360 CDC42
1 22266239 22266300 MIR4418
1 22633258 22633366 MIR6127
1 22636463 22639678 C1QA
1 22643633 22648108 C1QC
1 22653236 22661637 C1QB
1 22719517 22719598 MIR4684
1 22863159 22863226 MIR4253
1 22953043 22972866 LACTBL1
1 23010834 23015852 TEX46
1 23044305 23044372 MIR3115
1 23191895 23217502 HTR1D
1 23281309 23285518 LINC01355
1 23359448 23369836 ZNF436
1 23368971 23371839 ZNF436-AS1
1 23521930 23528419 LOC101928163
1 23548494 23554942 LOC105376859
1 23557926 23559501 ID3
1 23627334 23640568 MDS2
1 23691779 23696835 RPL11
1 23743471 23762059 ELOA
1 23760382 23778297 ELOA-AS1
1 23795599 23800754 GALE
1 23801885 23825429 HMGCL
1 23845077 23868290 FUCA1
1 23929070 23929147 MIR378F
1 24056041 24112135 MYOM3
1 24119771 24143140 IL22RA1
1 24200240 24211690 LINC02800
1 24305928 24321991 GRHL3-AS1
1 24496254 24502382 RCAN3AS
1 24502344 24541040 RCAN3
1 24539274 24556024 NCMAP-DT
1 24745447 24844321 CLIC4
1 24919345 24919416 MIR6731
1 24930457 24964708 RUNX3-AS1
1 25023503 25023586 MIR4425
1 25222276 25232502 SYF2
1 25242249 25338254 RSRP1
1 25616791 25784450 MAN1C1
1 25800193 25818221 SELENON
1 25819954 25832938 MTFR1L
1 25819954 25823606 LOC646471
1 25884179 25906880 STMN1
1 25906362 25906454 MIR3917
1 26037252 26046118 SLC30A2
1 26051301 26067630 TRIM63
1 26111162 26125555 PDIK1L
1 26159079 26163962 FAM110D
1 26164101 26168963 C1orf232
1 26169521 26171832 ZNF593OS
1 26169908 26170873 ZNF593
1 26177491 26189884 CNKSR1
1 26225320 26229840 ZPLD2P
1 26280086 26281522 SH3BGRL3
1 26282282 26318355 UBXN11
1 26317958 26320523 CD52
1 26462756 26467537 DHDDS-AS1
1 26472440 26476642 HMGN2
1 26554542 26554593 MIR1976
1 26691910 26694131 LOC101928728
1 26696015 26782104 ARID1A
1 26787054 26800659 PIGV
1 26826688 26857604 ZDHHC18
1 26863149 26864456 SFN
1 26876132 26890283 GPN2
1 27005020 27012850 TENT5B
1 27369110 27374824 FCN3
1 27392622 27395814 GPR3
1 27404230 27490167 WASF2
1 27522487 27530720 LOC105376892
1 27612064 27635185 FGR
1 27660328 27662722 LINC02574
1 27666064 27672192 IFI6
1 27773219 27824443 STX12
1 27830782 27851676 PPP1R8
1 27834401 27834566 SCARNA1
1 28147166 28193856 PTAFR
1 28200278 28233029 DNAJC8
1 28236124 28238100 ATP5IF1
1 28369740 28500364 PHACTR4
1 28505943 28510892 SNHG3
1 28506043 28538989 RCC1
1 28507365 28507571 SNORA73A
1 28508558 28508762 SNORA73B
1 28553085 28578545 TRNAU1AP
1 28578538 28582983 SNHG12
1 28578743 28578822 SNORD99
1 28579764 28579893 SNORA61
1 28580381 28580512 SNORA44
1 28580920 28581053 SNORA16A
1 28643256 28648801 TAF12-DT
1 28648600 28648734 RNU11
1 28736624 28769775 YTHDF2
1 28812170 28871267 OPRD1
1 29119429 29123903 TMEM200B
1 29236522 29326800 PTPRU
1 29329620 29350114 LINC01756
1 30013952 30037612 LINC01648
1 30711277 30723585 MATN1
1 30718772 30726746 MATN1-AS1
1 30739156 30739232 MIR4420
1 30824652 30834284 LINC01778
1 30858180 30860254 LOC400748
1 30931506 31065717 PUM1
1 30935689 30935776 SNORD103A
1 30949118 30949205 SNORD103B
1 30968163 30968237 SNORD103C
1 31179745 31239887 NKAIN1
1 31259568 31296788 SNRNP40
1 31409777 31434678 SERINC2
1 31518435 31524245 LINC01226
1 31567938 31577897 LOC105378626
1 31644136 31660169 PEF1-AS1
1 31758660 31758735 MIR4254
1 31906421 31938368 PTP4A2
1 31919563 31919628 LOC128031832
1 32086949 32087007 MIR5585
1 32205671 32208682 IQCC
1 32209089 32216192 DCDC2B
1 32247222 32248856 FAM167B
1 32333839 32336233 MARCKSL1
1 32361270 32362485 FAM229A
1 32362539 32364312 TSSK3
1 32465072 32496686 ZBTB8B
1 32539427 32605941 ZBTB8A
1 32651208 32686211 RBBP4
1 32741830 32774970 NHSL3
1 32862268 32872484 FNDC5
1 32894595 32901389 TMEM54
1 33007940 33036883 AK2
1 33145399 33182043 TRIM62
1 33306766 33321098 A3GALT2
1 33323626 33431095 PHC2
1 33332393 33332492 MIR3605
1 33350352 33363245 PHC2-AS1
1 33860475 33864791 HMGB4
1 33868956 33885458 CSMD2-AS1
1 34166993 34219131 C1orf94
1 34669599 34669694 MIR552
1 34781214 34786364 GJB3
1 34975699 34978706 GPR199P
1 34981380 34985347 TMEM35B
1 34986165 35031945 ZMYM6
1 35358822 35366077 ZMYM4-AS1
1 35557799 35566779 NCDN
1 35569811 35577862 TFAP2E-AS1
1 35599541 35641526 PSMB2
1 35713877 35718884 C1orf216
1 35720213 35769978 CLSPN
1 36095239 36125222 COL8A2
1 36136572 36156053 TRAPPC3
1 36156160 36180849 MAP7D1
1 36322030 36324154 EVA1B
1 36339628 36385924 STK40
1 36393436 36397908 LSM10
1 36418448 36418578 SNORA63C
1 36455718 36464384 MRPS15
1 36795527 37034515 GRIK3
1 37161563 37161634 MIR4255
1 37454879 37474443 LITATS1
1 37480230 37480289 MIR6732
1 37500935 37500994 MIR5581
1 37534449 37554293 SNIP1
1 37556940 37566857 DNALI1
1 37692516 37709719 CDCA8
1 37802945 37808208 YRDC
1 37807790 37809454 C1orf122
1 37956975 37990022 SF3A3
1 37996770 38005514 FHL3
1 38043829 38046793 POU3F1
1 38047134 38119530 MIR3659HG
1 38089231 38089329 MIR3659
1 38209034 38214767 LINC01343
1 38475196 38476484 LINC01685
1 38838198 38859772 RRAGC
1 38859893 38876226 RRAGC-DT
1 38862490 38881626 GJA9-MYCBP
1 38862490 38873378 MYCBP
1 38874069 38881587 GJA9
1 38885807 38941830 RHBDL2
1 38991276 39006059 AKIRIN1
1 39026350 39034615 NDUFS5
1 39084167 39487138 MACF1
1 39560816 39576790 PABPC4
1 39565070 39573203 PABPC4-AS1
1 39567374 39567510 SNORA55
1 39651229 39672107 NT5C1A
1 39678648 39691433 HPCAL4
1 39769523 39771348 OXCT2
1 39788976 39790171 LOC101929536
1 39799441 39809435 LOC130932201
1 39801414 39817460 LINC02811
1 39883150 39899098 MYCL-AS1
1 39895428 39901917 MYCL
1 40071461 40097252 PPT1
1 40247937 40251684 TMCO2
1 40491025 40508695 EXO5-DT
1 40531637 40548167 ZNF684
1 40689080 40692261 NFYC-AS1
1 40754355 40754446 MIR30E
1 40757284 40757372 MIR30C1
1 40861054 40862363 CITED4
1 41014590 41043890 SLFNL1-AS1
1 41242358 41264558 SCMH1-DT
1 41361434 41383590 FOXO6
1 41375004 41375669 FOXO6-AS1
1 41628749 41628816 LOC128125817
1 42153410 42155820 GUCA2B
1 42162690 42164745 GUCA2A
1 42430329 42456022 ZMYND12
1 42456341 42473417 PPCS
1 42733093 42740236 CLDN19
1 42767249 42779491 C1orf50
1 42776666 42784895 TMEM269-DT
1 42784991 42800827 TMEM269
1 42841895 42846414 ZNF691-DT
1 42857622 42888792 LOC339539
1 42925353 42958868 SLC2A1
1 42959049 42983358 SLC2A1-DT
1 43171652 43171712 MIR6733
1 43337818 43354466 MPL
1 43354684 43358673 CDC20-DT
1 43358981 43363203 CDC20
1 43363401 43368011 ELOVL1
1 43364648 43364715 MIR6734
1 43383917 43389800 MED8
1 43389899 43454247 SZT2
1 43447776 43448644 SZT2-AS1
1 43448539 43448611 MIR6735
1 43453927 43456999 HYI-AS1
1 43650149 43705518 KDM4A
1 43699724 43707341 KDM4A-AS1
1 43709392 43727343 ST3GAL3-AS1
1 43838622 43838683 MIR6079
1 43944355 43946599 LOC101929609
1 43991599 43996528 CCDC24
1 44137821 44141631 KLF18
1 44213471 44220673 DMAP1
1 44222595 44244283 ERI3-IT1
1 44252344 44252559 SNORA110
1 44545493 44545552 MIR5584
1 44653247 44674481 TMEM53
1 44670957 44671056 SNORD145
1 44721786 44721901 RNU5F-1
1 44731069 44731168 RNU5D-1
1 44762035 44762107 SNORD160
1 44775540 44778779 RPS8
1 44775865 44775938 SNORD55
1 44776492 44776589 SNORD46
1 44777842 44777912 SNORD38A
1 44778390 44778458 SNORD38B
1 44819845 44843253 PTCH2
1 45303910 45305619 LINC01144
1 45326895 45328710 HPDL
1 45343883 45491163 TESK2
1 45500300 45513382 MMACHC
1 45511051 45522890 PRDX1
1 45688181 45694436 TMEM69
1 46040140 46176488 P3R3URF-PIK3R3
1 46040140 46174901 PIK3R3
1 46133371 46139081 LOC101929626
1 46175486 46176488 P3R3URF
1 46203334 46221256 LURAP1
1 46247688 46278473 RAD54L
1 46303698 46316776 UQCRH
1 46340807 46385199 NSUN4
1 46394317 46413845 FAAH
1 46446673 46449704 LINC01398
1 46489836 46516216 DMBX1
1 46532166 46535515 TMEM275
1 46538696 46570255 MKNK1-AS1
1 46545641 46551647 KNCN
1 46607719 46616811 MOB3C
1 46632737 46668557 ATPAF1
1 46674036 46692098 EFCAB14-AS1
1 46675159 46719114 EFCAB14
1 46799046 46819413 CYP4B1
1 47179250 47180339 LINC00853
1 47183582 47190036 PDZK1IP1
1 47333790 47378839 CMPK1
1 47380796 47437317 LINC01389
1 47416285 47418052 FOXE3
1 47432133 47434641 FOXD2-AS1
1 47438044 47440691 FOXD2
1 49257411 49269294 AGBL4-AS1
1 49374201 49472085 AGBL4-IT1
1 50968706 50974634 CDKN2C
1 51059837 51059905 MIR4421
1 51060018 51060103 MIR6500
1 51195095 51235096 LINC01562
1 51236273 51273447 RNF11
1 51329654 51331281 TTC39A-AS1
1 51518272 51789219 OSBPL9
1 51518272 51579310 EPS15-AS1
1 51789210 51878727 NRDC
1 51836344 51836402 MIR761
1 52020131 52056171 TXNDC12
1 52032103 52033810 KTI12
1 52050918 52052683 TXNDC12-AS1
1 52056295 52090716 BTF3L4
1 52350597 52366205 CC2D1B
1 52404602 52420836 PRPF38A
1 52684449 52698347 COA7
1 53196824 53214197 CPT2
1 53214099 53220634 CZIB
1 53220360 53224258 CZIB-DT
1 53226900 53238518 MAGOH
1 53238610 53242783 MAGOH-DT
1 53242364 53328070 LRP8
1 53328233 53336509 LRP8-DT
1 53459399 53467488 DMRTB1
1 53851733 53889797 YIPF1
1 53894187 53911086 DIO1
1 54026681 54053573 TMEM59
1 54053608 54112520 TCEANC2
1 54054079 54054154 MIR4781
1 54132687 54153000 CDCP2
1 54169651 54200030 CYB5RL
1 54200167 54225489 MRPL37
1 54236443 54239063 SSBP3-AS1
1 54516336 54528777 LINC02784
1 54548228 54639192 ACOT11
1 54641740 54742657 MROH7-TTC4
1 54641786 54710266 MROH7
1 54715861 54742657 TTC4
1 54756898 54764523 PARS2
1 54849627 54887195 DHCR24
1 54998933 55017172 BSND
1 55215408 55217455 LOC100507634
1 55217861 55234177 MIR4422HG
1 55225641 55225723 MIR4422
1 55915609 55944963 LINC01753
1 55945087 55950119 LINC01755
1 56414963 56415966 LINC01767
1 56494761 56579563 PLPP3
1 56627791 56645318 LOC101929935
1 56994778 58546726 DAB1
1 57860581 57863216 DAB1-AS1
1 58480719 58546726 OMA1
1 58575433 58577252 TACSTD2
1 58780791 58784047 JUN
1 58785151 58899712 JUN-DT
1 58882878 58904138 LINC02777
1 59020476 59088247 LINC01358
1 59131936 59146807 HSD52
1 59733227 59733296 MIR4711
1 59772795 59788832 LOC101926944
1 60515716 60622685 LINC01748
1 60659631 60825584 LOC101926964
1 60940244 60970740 NFIA-AS2
1 61077227 61462788 NFIA
1 61248945 61253518 NFIA-AS1
1 61741998 61742784 PATJ-DT
1 61846075 61846176 MIR12132
1 62078786 62078859 MIR3116-1
1 62078789 62078856 MIR3116-2
1 62194849 62212328 L1TD1
1 62436395 62451804 USP1
1 62597520 62606313 ANGPTL3
1 62688482 62710694 DOCK7-DT
1 62784132 62865516 ATG4C
1 63000497 63012471 LINC01739
1 63159083 63317257 LINC00466
1 63320884 63324441 FOXD3-AS1
1 63322567 63325128 FOXD3
1 63326925 63326984 MIR6068
1 63367627 63438553 ALG6
1 63593411 63660245 PGM1
1 64094442 64113791 ROR1-AS1
1 64579847 64579923 MIR4794
1 64979577 65002476 LINC01359
1 65057755 65057842 MIR3671
1 65058434 65058508 MIR101-1
1 65264749 65415871 DNAJC6
1 65420652 65641559 LEPR
1 65420668 65436007 LEPROT
1 66042500 66050718 PDE4B-AS1
1 66628440 66628517 MIR3117
1 66797740 66801276 INSL5
1 67407810 67430402 SERBP1
1 67685201 67688334 GADD45A
1 67832288 68202987 GNG12-AS1
1 68045962 68050627 DIRAS3
1 68183518 68183610 MIR1262
1 68428822 68449954 RPE65
1 68474152 68497082 DEPDC1
1 68496676 68538627 DEPDC1-AS1
1 69055898 69185003 LINC01707
1 69215838 69249530 LINC02791
1 69433255 69435409 LINC01758
1 69567922 70144364 LRRC7
1 70035966 70042259 LRRC7-AS1
1 70354811 70368023 ANKRD13C-DT
1 70359559 70360437 LINC03102
1 70706453 70786468 LINC01788
1 71046506 71067184 ZRANB2-AS1
1 71067631 71067716 MIR186
1 71081324 71237723 ZRANB2-DT
1 71794232 71837012 NEGR1-IT1
1 72697451 72766687 LOC105378798
1 72764888 72784098 LINC02796
1 73306170 73338877 LINC01360
1 73674679 73738642 LINC02238
1 74198242 74544428 FPGT-TNNI3K
1 74198242 74208702 FPGT
1 74235387 74544428 TNNI3K
1 74577430 74626098 ERICH3-AS1
1 75127846 75132576 LHX8-AS1
1 75724709 75763679 ACADM
1 75786194 75795090 RABGGTB
1 75787072 75787149 SNORD45C
1 75787889 75787972 SNORD45A
1 75789477 75789547 SNORD45B
1 75796882 75913242 MSH4
1 76011324 76019356 LOC101927342
1 76758124 76779267 LINC02567
1 76867480 77067546 ST6GALNAC5
1 77060143 77060202 MIR7156
1 77088989 77219430 PIGK
1 77779649 77879540 MIGA1
1 77881348 77889539 NEXN-AS1
1 77979175 78017964 DNAJB4
1 78229599 78369464 MGC27382
1 78889764 79006730 ADGRL4
1 80535755 80646788 LINC01781
1 81513880 81557702 LOC101927434
1 82903183 83166815 LINC01362
1 82973882 82986208 LINC01361
1 83446054 83454771 LINC01712
1 83575787 83860996 LINC01725
1 83801516 83860546 LOC101927560
1 83979118 83984300 TTLL7-IT1
1 84479266 84498352 RPF1
1 84498325 84506581 GNG5
1 84549611 84574440 CTBS
1 84597964 84621031 LINC01461
1 84628230 84635020 LINC01555
1 84811602 84893206 LPAR3
1 85133794 85133873 MIR4423
1 85249953 85259662 C1orf52
1 85276358 85278088 BCL10-AS1
1 85580761 85583950 CCN1
1 86288707 86319601 LINC02795
1 86346837 86396323 ODF2L
1 86357632 86357687 MIR7856
1 86468927 86500259 CLCA1
1 86571181 86704493 CLCA4-AS1
1 86862445 86914577 SELENOF
1 86914635 87109982 HS2ST1
1 87129765 87169204 LINC01140
1 87212669 87251331 LINC02801
1 87353524 87371655 LINC01364
1 88537513 88685204 PKN2-AS1
1 88921044 88992960 KYAT3
1 88979456 88992629 RBMXL1
1 89052319 89065208 GBP1
1 89106132 89126114 GBP2
1 89131742 89176003 GBP7
1 89181144 89198942 GBP4
1 89256189 89272860 GBP5
1 89524829 89597861 LRRC8B
1 89579592 89579654 LOC128092251
1 89624849 89632894 LRRC8C-DT
1 89820174 89821794 LRRC8D-DT
1 90657750 90657963 SNORD3G
1 90782984 90851650 LINC02609
1 90835663 90849472 LINC02788
1 90851759 90854899 LINC01763
1 92029985 92063538 EPHX4
1 92074533 92075411 SETSIP
1 92831986 92841924 RPL5
1 92832729 92961462 DIPK1A
1 92837289 92837383 SNORD21
1 92840719 92840851 SNORA66
1 93079283 93139076 MTF2
1 93149742 93180413 TMED5
1 93310109 93345811 CCDC18-AS1
1 93345907 93369493 DR1
1 93448118 93554661 FNBP1L
1 93561741 93848151 BCAR3
1 93591968 93600030 BCAR3-AS1
1 93846832 93846911 MIR760
1 93866284 93879206 DNTTIP2
1 94529173 94541759 F3
1 94543702 94543779 MIR12133
1 94616352 94820232 SLC44A3-AS1
1 94745860 94745900 MIR378G
1 94926360 94963270 CNN3-DT
1 95061596 95067545 ALG14-AS1
1 95092517 95197607 TLCD4
1 95117923 95244955 TLCD4-RWDD3
1 95163219 95233982 RWDD3-DT
1 95234155 95247225 RWDD3
1 95310928 95318263 LINC01760
1 95351251 95352107 LINC01650
1 95474737 95479356 LINC01761
1 95510116 95515464 LINC02607
1 95992068 96022880 LINC02790
1 96254069 96374125 LINC01787
1 97095923 97322955 DPYD-AS1
1 97796921 97798051 DPYD-AS2
1 97933474 97941740 LINC01930
1 97988000 98049693 MIR137HG
1 98045242 98045351 MIR2682
1 98046070 98046171 MIR137
1 98210711 98272658 LINC01776
1 99004276 99148852 PLPPR5-AS1
1 99472420 99487804 LINC01708
1 99646113 99694535 PALMD
1 100264742 100266174 RTCA-AS1
1 100266216 100292769 RTCA
1 100281241 100281308 MIR553
1 100345001 100520277 CDC14A
1 100538139 100542021 GPR88
1 100627049 100647004 LINC01349
1 100719742 100739045 VCAM1
1 101025846 101087379 DPH5-DT
1 101234873 101236528 S1PR1-DT
1 101323837 101377313 LINC01307
1 101639574 101787569 LINC01709
1 103416980 103525508 RNPC3-DT
1 103525699 103555239 RNPC3
1 103554644 103579534 AMY2B
1 103655519 103664554 AMY1A
1 103687415 103696453 AMY1B
1 103749654 103758692 AMY1C
1 105589694 105618935 LINC01676
1 105927624 106028253 LINC01677
1 106818239 106838193 LINC01661
1 107056674 107059294 PRMT6
1 107897223 107897304 MIR7852
1 107964443 107994607 VAV3-AS1
1 108134043 108200343 SLC25A24
1 108560100 108639322 EEIG2
1 108712908 108742749 FNDC7
1 108746674 108809523 STXBP3
1 108815901 108858244 AKNAD1
1 108857217 108858524 SPATA42
1 108929505 108963484 CLCC1
1 109064140 109076003 TAF13
1 109090764 109096934 TMEM167B
1 109100193 109100612 SCARNA2
1 109213893 109238182 SARS1
1 109249539 109275751 CELSR2
1 109399042 109426448 PSMA5
1 109494094 109500435 CYB561D1
1 109548615 109600195 GNAI3
1 109598893 109598967 MIR197
1 109603091 109619616 GNAT2
1 109619837 109632055 AMPD2
1 109733937 109741038 GSTM3
1 110059870 110070672 ALX3
1 110082688 110109719 LINC01397
1 110112443 110113947 UBL4B
1 110150494 110202202 SLC6A17
1 110165948 110168851 SLC6A17-AS1
1 110208450 110209987 KCNC4-DT
1 110286375 110339171 RBM15-AS1
1 110339377 110346677 RBM15
1 110401253 110407924 LAMTOR5
1 110407809 110416274 LAMTOR5-AS1
1 110451149 110457358 PROK1
1 110487680 110490258 CYMP-AS1
1 110517217 110519175 KCNA10
1 110653560 110674940 KCNA3
1 111227659 111243440 CHI3L2
1 111414319 111427735 OVGP1
1 111439890 111449256 WDR77
1 111449464 111462773 ATP5PB
1 111483348 111563962 TMIGD3
1 111499429 111503633 ADORA3
1 111542009 111716691 RAP1A
1 111599007 111608318 LINC01160
1 111617611 111620398 LOC107985184
1 111739841 111747798 INKA2-AS1
1 111745317 111755509 LOC101928718
1 111755901 111768000 DDX20
1 111853762 111856905 KCND3-IT1
1 111909657 111910930 KCND3-AS1
1 111990536 111998842 LINC01750
1 112229673 112360607 LINC02884
1 112461770 112461833 MIR4256
1 112466541 112530165 WNT2B
1 112701131 112707408 RHOC
1 112709998 112715332 PPM1J
1 112718905 112727235 TAFA3
1 112820169 112850643 LINC01356
1 112882050 112882129 MIR11399
